name,category,impact,likelihood,financialEffect,timeHorizon
"GHG Emissions","Environment",5,4,"Carbon Taxes, Regulatory Fines","Short Term (0-3 years)"
"Energy Management","Environment",4,5,"Increased Energy Operational Costs","Medium Term (3-10 years)"
"Water & Wastewater Management","Environment",4,3,"Water Scarcity Halting Operations","Medium Term (3-10 years)"
"Waste & Hazardous Materials","Environment",3,4,"Cleanup Costs, Penalties","Short Term (0-3 years)"
"Biodiversity Impacts","Environment",5,2,"Project Delays, Restoration Expenses","Long Term (10+ years)"
"Labor Practices","Social",3,5,"Strikes, Increased Wages","Short Term (0-3 years)"
"Employee Health & Safety","Social",5,2,"Litigation, Compensation Claims","Short Term (0-3 years)"
"Customer Privacy","Governance",5,3,"Data Breach Fines, Lost Trust","Short Term (0-3 years)"
"Data Security","Governance",5,4,"Ransomware Recovery, Outages","Short Term (0-3 years)"
"Product Quality & Safety","Social",4,3,"Recalls, Sales Declines","Short Term (0-3 years)"
"Selling Practices & Labeling","Governance",3,3,"Fines for Misrepresentation","Medium Term (3-10 years)"
"Human Rights & Community Relations","Social",4,2,"Boycotts, Access to Capital","Medium Term (3-10 years)"
"Business Ethics","Governance",5,2,"Anti-Corruption Violations, Exec Turnover","Short Term (0-3 years)"
"Access & Affordability","Social",2,3,"Lost Market Share","Medium Term (3-10 years)"
"Systemic Risk Management","Governance",5,3,"Capital Requirements, Stress Test Failures","Medium Term (3-10 years)"
"Physical Impacts of Climate Change","Environment",5,4,"Asset Damage, Insurance Premiums","Long Term (10+ years)"
"Critical Incident Risk Management","Governance",4,3,"Crisis Recovery Costs","Short Term (0-3 years)"
"Supply Chain Management","Governance",4,5,"Procurement Delays, Input Inflation","Short Term (0-3 years)"
"Materials Sourcing & Efficiency","Environment",3,4,"Raw Material Volatility","Medium Term (3-10 years)"
"Product Design & Lifecycle","Governance",3,3,"Redesign R&D Expenses","Medium Term (3-10 years)"
