name,category,impact,likelihood,financialEffect,timeHorizon
"Legacy IT Infrastructure Obsolescence","Governance",4,4,"Unplanned immediate CapEx, system outages","Short Term (0-3 years)"
"High Employee Attrition Rates","Social",3,5,"Increased recruitment & training costs","Short Term (0-3 years)"
"Lack of Internal ESG Controls","Governance",4,3,"Audit failures, misreported metrics","Medium Term (3-10 years)"
"Inefficient Branch Energy Usage","Environment",2,5,"Continuous drag on OPEX","Short Term (0-3 years)"
"Internal Fraud & Embezzlement","Governance",5,2,"Direct capital loss, recovery investigations","Short Term (0-3 years)"
"Inadequate Diversity Representation","Social",3,3,"Internal grievances, lower productivity","Medium Term (3-10 years)"
"Slow Digital Product Rollout","Strategic",4,4,"Lost competitive edge, lower fee income","Medium Term (3-10 years)"
"Poor Cross-department Data Silos","Governance",3,5,"Duplicated work hours, bad AI models","Short Term (0-3 years)"
"Unsafe Workspace Conditions (HQ)","Social",4,2,"Liability payouts to staff","Short Term (0-3 years)"
"Deficient Scope 3 Tracking","Environment",4,4,"Cannot meet net-zero pledges, investor pressure","Medium Term (3-10 years)"
"Employee Misconduct","Social",5,2,"Damaging Press, Dismissal Packages","Short Term (0-3 years)"
"Obsolete Operational Procedures","Governance",3,4,"Drag on efficiency margins","Medium Term (3-10 years)"
"Insufficient Board Governance","Governance",5,3,"Hostile takeover risk, stock suppression","Long Term (10+ years)"
"Ineffective Whistleblower Systems","Social",4,3,"Compounding unaddressed cultural toxicity","Medium Term (3-10 years)"
"Workplace Discrimination Claims","Social",4,2,"Civil class action lawsuit vulnerability","Short Term (0-3 years)"
"Internal Capital Misallocation","Financial",5,3,"Sub-optimal ROI on ESG initiatives","Medium Term (3-10 years)"
"Lack of Sustainability Training","Governance",3,5,"Sales team unable to pitch green products","Short Term (0-3 years)"
"Supply Procurement Inefficiencies","Governance",2,4,"Vendor bloat driving up baseline costs","Short Term (0-3 years)"
"Inadequate Cybersecurity Defense","Governance",5,4,"Massive data extortion vulnerability","Short Term (0-3 years)"
"Physical Asset Degradation","Environment",3,3,"Decreased collateral backing limits","Long Term (10+ years)"
