name,category,impact,likelihood,financialEffect,timeHorizon
"Geopolitical Sanctions","Governance",5,3,"Frozen assets, blocked market access","Short Term (0-3 years)"
"Local Community Protests (Proj. Finance)","Social",4,3,"Stalled disbursals, reputational damage","Medium Term (3-10 years)"
"Competitor Green-Product Undercutting","Strategic",3,4,"Loss of loan originations","Medium Term (3-10 years)"
"Third-Party Vendor Cyber Breach","Governance",5,4,"Major liability, regulatory penalties","Short Term (0-3 years)"
"Activists Targeting Fossil Financing","Social",4,4,"Public relations crises, stock price drops","Short Term (0-3 years)"
"Macroeconomic Inflation","Financial",4,5,"Increased default risk across retail lending","Short Term (0-3 years)"
"Biodiversity Loss (Client Operations)","Environment",3,3,"Devaluation of client collateral","Long Term (10+ years)"
"Shift in Sovereign Debt Stability","Financial",5,2,"Massive asset write-downs","Medium Term (3-10 years)"
"Changing Demographics/Aging Wealth","Social",3,3,"Deposit flight, changing product needs","Long Term (10+ years)"
"Emerging Alternative Currencies (CBDCs)","Strategic",4,3,"Loss of transaction fee models","Medium Term (3-10 years)"
"Supplier Default","Financial",4,3,"Direct operational outages","Short Term (0-3 years)"
"External Data Theft","Governance",5,3,"Extortion payments and system downtime","Short Term (0-3 years)"
"Public Disinformation Campaigns","Social",3,4,"Reputational friction requiring PR spend","Short Term (0-3 years)"
"Volatile Energy Markets","Financial",4,5,"Spiking borrower NPL ratios","Medium Term (3-10 years)"
"Evolving Pandemic Threat","Social",5,2,"Global systemic market slowdown","Short Term (0-3 years)"
"Widespread Social Unrest","Social",4,2,"Closure of retail banking outlets","Short Term (0-3 years)"
"Foreign Exchange Market Collapse","Financial",5,2,"Wiped out cross-border earnings","Short Term (0-3 years)"
"Shift in Customer Behavior","Strategic",3,4,"Lower appetite for standard lending","Medium Term (3-10 years)"
"Rival Technology Breakthroughs","Strategic",4,3,"Legacy products becoming unmarketable","Long Term (10+ years)"
"Raw Material Shortages","Environment",3,3,"Stalled housing development portfolios","Medium Term (3-10 years)"
