name,category,impact,likelihood,financialEffect,timeHorizon
"Basel IV Capital Requirements","Financial",4,5,"Increased cost of capital, dividend cuts","Medium Term (3-10 years)"
"EU Taxonomy Alignment Failures","Governance",4,4,"Unable to issue Green Bonds","Short Term (0-3 years)"
"Mandatory Scope 3 Reporting","Governance",3,5,"Consulting/Auditing overhead","Short Term (0-3 years)"
"Consumer Protection Agency Fines","Social",4,3,"Direct cash penalties, restitution","Short Term (0-3 years)"
"AML / KYC Enforcement Violations","Governance",5,2,"Massive monetary fines, license revocation","Short Term (0-3 years)"
"Stress Testing (Climate) Mandates","Financial",4,4,"Forced shifts in asset allocation","Medium Term (3-10 years)"
"Data Privacy Laws (GDPR/Local Equiv)","Governance",5,3,"Fines up to 4% of global revenue","Short Term (0-3 years)"
"Carbon Tax Introduction","Environment",3,4,"Passed-down costs dragging borrower P&L","Medium Term (3-10 years)"
"Extended Producer Responsibility","Environment",2,3,"Minor compliance costs for e-waste","Long Term (10+ years)"
"Ban on Specific Fossil Subsidies","Environment",4,3,"Sudden collapse of specific borrower sectors","Medium Term (3-10 years)"
"TCFD Non-Compliance","Governance",4,4,"Stock market delisting threats","Short Term (0-3 years)"
"Corporate Governance Code Breaches","Governance",5,2,"Forced removal of executive directors","Short Term (0-3 years)"
"Financial Conduct Violations","Governance",4,3,"Severe restrictions on sales capabilities","Medium Term (3-10 years)"
"Workplace Safety Fines","Social",3,3,"Direct governmental levies for accidents","Short Term (0-3 years)"
"Discriminatory Lending Sanctions","Social",5,3,"Multi-million dollar settlement packages","Short Term (0-3 years)"
"Misleading Sales Practices (Misselling)","Governance",4,4,"Mandatory reimbursement campaigns","Medium Term (3-10 years)"
"Bribery Act Enforcement","Governance",5,1,"Criminal prosecution of key staff","Short Term (0-3 years)"
"Greenwashing Regulatory Probe","Governance",4,3,"Legal defense fees and brand damage","Short Term (0-3 years)"
"Insider Trading Investigations","Governance",5,2,"Devastating shareholder confidence loss","Short Term (0-3 years)"
"Environmental Discharge Penalties","Environment",3,2,"Fines for localized chemical spills","Short Term (0-3 years)"
