name,category,impact,likelihood,financialEffect,timeHorizon
"Concentration Risk (Oil & Gas)","Financial",5,4,"Portfolio-wide non-performing loans (NPLs)","Medium Term (3-10 years)"
"Liquidity Shortfalls","Financial",5,2,"Emergency borrowing costs, insolvency","Short Term (0-3 years)"
"Inadequate Risk Culture","Governance",4,3,"Sub-optimal pricing of risk premiums","Short Term (0-3 years)"
"Failure of Business Continuity Plan","Governance",5,2,"Revenue halt during crisis","Short Term (0-3 years)"
"Key Person Dependency","Social",3,3,"Search costs, strategy disruptions","Medium Term (3-10 years)"
"Misalignment of KRI limits","Governance",4,4,"Excessive risk-taking triggering capital buffers","Short Term (0-3 years)"
"Inaccurate ESG Credit Scoring","Financial",4,3,"Bad loans flagged as green, poor returns","Medium Term (3-10 years)"
"Interest Rate Volatility","Financial",4,5,"Margin compression, unrealized bond losses","Short Term (0-3 years)"
"Foreign Exchange Shocks","Financial",3,4,"Earnings volatility in cross-border units","Short Term (0-3 years)"
"Model Risk (AI/ML Biases)","Governance",4,3,"Regulatory fines, discriminatory lending lawsuits","Medium Term (3-10 years)"
"Strategic Execution Failure","Governance",4,3,"Wasted R&D and consultant expenditure","Medium Term (3-10 years)"
"Credit Rating Downgrade","Financial",5,2,"Massive jump in cost of wholesale funding","Short Term (0-3 years)"
"Outdated Risk Taxonomy","Governance",3,4,"Blind spots to emerging systemic threats","Medium Term (3-10 years)"
"Reputation Damage","Social",5,3,"Loss of institutional Tier 1 depositors","Short Term (0-3 years)"
"Over-reliance on Unsecured Funding","Financial",5,2,"Run on the bank scenarios","Short Term (0-3 years)"
"Asset Liability Mismatch","Financial",4,4,"Yield curve inversion losses","Medium Term (3-10 years)"
"Vendor Performance Failure","Governance",3,4,"Service level agreement penalties","Short Term (0-3 years)"
"Rapid Credit Expansion Deficiencies","Financial",4,3,"Unprecedented volume of bad debt","Long Term (10+ years)"
"Misjudged Market Sentiment","Strategic",3,3,"Failure of newly launched eco-funds","Medium Term (3-10 years)"
"Ineffective Compliance Oversight","Governance",4,4,"Compounding regulatory friction","Short Term (0-3 years)"
